chunk_id,num_movies,length,movie_ids,text
13,5,1979,"117,118,120,121,122","Movie: The Untouchables
ID: 117
Cast Members (56): Kevin Costner, Sean Connery, Charles Martin Smith, Andy García, Robert De Niro, Richard Bradford, Jack Kehoe, Brad Sullivan, Billy Drago, Patricia Clarkson...
Crew Members (31): Gerald B. Greenberg, Brian De Palma, Art Linson, David Mamet, Oscar Fraley, Eliot Ness, Stephen H. Burum, Ennio Morricone, William A. Elliott, Hal Gausman...

Movie: Charlie and the Chocolate Factory
ID: 118
Cast Members (32): Johnny Depp, Freddie Highmore, David Kelly, ..."
14,5,1902,"122,128,129,134,137","Movie: The Lord of the Rings: The Return of the King
ID: 122
Cast Members (29): Elijah Wood, Ian McKellen, Viggo Mortensen, Liv Tyler, Orlando Bloom, John Rhys-Davies, Sean Astin, Billy Boyd, Dominic Monaghan, Andy Serkis...
Crew Members (29): Barrie M. Osborne, Howard Shore, Peter Jackson, Peter Jackson, Peter Jackson, Bob Weinstein, Harvey Weinstein, Mark Ordesky, Michael Lynne, J.R.R. Tolkien...

Movie: Princess Mononoke
ID: 128
Cast Members (14): Yōji Matsuda, Yuriko Ishida, Yūko Tanaka, Kao..."
15,5,1834,"137,141,142,146,149","Movie: Groundhog Day
ID: 137
Cast Members (30): Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Willie Garson...
Crew Members (44): James J. Murakami, Harold Ramis, Harold Ramis, Harold Ramis, Trevor Albert, Danny Rubin, Danny Rubin, John Bailey, George Fenton, Howard Feuer...

Movie: Donnie Darko
ID: 141
Cast Members (28): Jake Gyllenhaal, Jena Malone, Patrick Swayze, Maggie Gyllenhaal, Drew Barrymore, B..."
16,5,1988,"149,152,153,154,155","Movie: Akira
ID: 149
Cast Members (12): Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshou Genda, Hiroshi Ohtake, Kōichi Kitamura, Yuriko Fuchizaki, Masaaki Ōkura, Takeshi Kusao, Kazuhiro Kamifuji...
Crew Members (22): Katsuhiro Ōtomo, Katsuhiro Ōtomo, Katsuhiro Ōtomo, Takeshi Seyama, Izo Hashimoto, Haruyo Kanesaku, Shunzo Kato, Yutaka Maseba, Hiroe Tsukamoto, Shoji Yamashiro...

Movie: Star Trek: The Motion Picture
ID: 152
Cast Members (16): William Shatner, Leonard Nimoy, DeForest Kelley, James..."
17,5,1952,"155,157,161,162,163","Movie: The Dark Knight
ID: 155
Cast Members (134): Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy...
Crew Members (81): Lucinda Syson, Hans Zimmer, Charles Roven, Christopher Nolan, Christopher Nolan, Christopher Nolan, Jonathan Nolan, Emma Thomas, Wally Pfister, John Papsidera...

Movie: Star Trek III: The Search for Spock
ID: 157
Cast Members (18): William Shatner, Leonard Nimoy, DeFo..."
18,5,1919,"163,165,167,168,169","Movie: Ocean's Twelve
ID: 163
Cast Members (27): George Clooney, Brad Pitt, Catherine Zeta-Jones, Julia Roberts, Andy García, Casey Affleck, Scott Caan, Shaobo Qin, Bernie Mac, Don Cheadle...
Crew Members (109): Debra Zane, Bruce Berman, Steven Soderbergh, Steven Soderbergh, George Clayton Johnson, Jack Golden Russell, Jerry Weintraub, David Holmes, David Holmes, Philip Messina...

Movie: Back to the Future Part II
ID: 165
Cast Members (55): Michael J. Fox, Christopher Lloyd, Lea Thompson, Elisa..."
19,5,1969,"169,170,172,173,174","Movie: Predator 2
ID: 169
Cast Members (38): Kevin Peter Hall, Danny Glover, Gary Busey, Rubén Blades, María Conchita Alonso, Bill Paxton, Adam Baldwin, Robert Davi, Kent McCord, Morton Downey, Jr....
Crew Members (83): Stephen Hopkins, Alan Silvestri, Peter Levy, Lawrence G. Paull, Mark Goldblatt, Rick Simpson, Joel Silver, Jim Thomas, Jim Thomas, Lawrence Gordon...

Movie: 28 Days Later
ID: 170
Cast Members (22): Cillian Murphy, Naomie Harris, Noah Huntley, Christopher Dunne, Emma Hitching, Al..."
20,5,1915,"174,176,177,179,180","Movie: Star Trek VI: The Undiscovered Country
ID: 174
Cast Members (24): William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig, Nichelle Nichols, Christopher Plummer, Kim Cattrall, David Warner...
Crew Members (14): Nicholas Meyer, Nicholas Meyer, Nilo Rodis-Jamero, Herman F. Zimmerman, Steven-Charles Jaffe, Ralph Winter, Denny Martin Flinn, Hiro Narita, Mickey S. Michaels, Dodie Shepard...

Movie: Saw
ID: 176
Cast Members (17): Cary Elwes, Danny Glover, Moni..."
21,5,1918,"180,182,184,186,187","Movie: Minority Report
ID: 180
Cast Members (23): Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow, Lois Smith, Peter Stormare, Tim Blake Nelson, Steve Harris, Kathryn Morris, Mike Binder...
Crew Members (156): John Williams, Denise Chamian, Steven Spielberg, Janusz Kamiński, Michael Kahn, Philip K. Dick, Alex McDowell, Scott Frank, Scott Frank, Jon Cohen...

Movie: The Good German
ID: 182
Cast Members (15): George Clooney, Cate Blanchett, Tobey Maguire, Tony Curran, Leland Orser, Beau ..."
22,1,396,187,"Movie: Sin City
ID: 187
Cast Members (52): Jessica Alba, Devon Aoki, Clive Owen, Rosario Dawson, Mickey Rourke, Bruce Willis, Benicio del Toro, Michael Clarke Duncan, Alexis Bledel, Carla Gugino...
Crew Members (99): Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Quentin Tarantino, Bob Weinstein, Harvey Weinstein..."
23,1,399,189,"Movie: Sin City: A Dame to Kill For
ID: 189
Cast Members (50): Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt, Rosario Dawson, Bruce Willis, Eva Green, Powers Boothe, Dennis Haysbert, Ray Liotta...
Crew Members (68): Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Bob Weinstein, Harvey Weinstein, Frank Miller, Frank Miller, Frank Miller..."
24,1,395,193,"Movie: Star Trek: Generations
ID: 193
Cast Members (17): Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, William Shatner, James Doohan, Walter Koenig...
Crew Members (15): John M. Dwyer, John A. Alonzo, Peter E. Berger, Herman F. Zimmerman, David Carson, Rick Berman, Peter Lauritson, Bernard Williams, Ronald D. Moore, Brannon Braga..."
25,1,406,194,"Movie: Amélie
ID: 194
Cast Members (55): Audrey Tautou, Mathieu Kassovitz, Rufus, Jamel Debbouze, Claire Maurier, Isabelle Nanty, Dominique Pinon, Artus de Penguern, Yolande Moreau, Lorella Cravotta...
Crew Members (80): Jean-Marc Deschamps, Claudie Ossard, Arne Meerkamp van Embden, Jean-Pierre Jeunet, Jean-Pierre Jeunet, Guillaume Laurant, Guillaume Laurant, Helmut Breuer, Yann Tiersen, Yann Tiersen..."
26,1,409,196,"Movie: Back to the Future Part III
ID: 196
Cast Members (54): Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson, Elisabeth Shue, James Tolkan, Matt Clark, Christopher Wynne, Sean Sullivan...
Crew Members (24): Alan Silvestri, Robert Zemeckis, Robert Zemeckis, Robert Zemeckis, Steve Starkey, Arthur Schmidt, Steven Spielberg, Kathleen Kennedy, Rick Carter, Joanna Johnston..."
27,5,1995,"196,197,199,200,201","Movie: Back to the Future Part III
ID: 196
Cast Members (54): Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson, Elisabeth Shue, James Tolkan, Matt Clark, Christopher Wynne, Sean Sullivan...
Crew Members (24): Alan Silvestri, Robert Zemeckis, Robert Zemeckis, Robert Zemeckis, Steve Starkey, Arthur Schmidt, Steven Spielberg, Kathleen Kennedy, Rick Carter, Joanna Johnston...

Movie: Braveheart
ID: 197
Cast Members (55): Mel Gibson, Catherine McCormack, Sophie Marc..."
28,5,1882,"201,203,205,207,214","Movie: Star Trek: Nemesis
ID: 201
Cast Members (18): Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, Tom Hardy, Ron Perlman, Shannon Cochran...
Crew Members (19): John M. Dwyer, Jeffrey L. Kimball, John Logan, Jerry Goldsmith, Amanda Mackey, Herman F. Zimmerman, Rick Berman, Peter Lauritson, Robert Blackman, Junie Lowry-Johnson...

Movie: Mean Streets
ID: 203
Cast Members (15): Harvey Keitel, Robert De Niro, David Proval, Amy Robinson, R..."
29,5,1902,"214,215,217,218,219","Movie: Saw III
ID: 214
Cast Members (13): Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh, Dina Meyer, Kim Roberts, Donnie Wahlberg, Leigh Whannell, J. Larose, Betsy Russell...
Crew Members (13): Leigh Whannell, Mark Burg, Oren Koules, Charlie Clouser, Charlie Clouser, David A. Armstrong, Kevin Greutert, Darren Lynn Bousman, Stephanie Gorin, David Hackl...

Movie: Saw II
ID: 215
Cast Members (15): Tobin Bell, Shawnee Smith, Donnie Wahlberg, Franky G, Glenn Plummer, Beverley Mitchell, D..."
30,5,1901,"219,223,226,227,231","Movie: Volver
ID: 219
Cast Members (25): Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave, Antonio de la Torre, Carlos Blanco, María Isabel Díaz, Neus Sanz...
Crew Members (28): Esther García, Agustín Almodóvar, Pedro Almodóvar, Pedro Almodóvar, Alberto Iglesias, José Salcedo, Miguel Rejas, José Antonio Bermúdez, Bina Daigeler, José Luis Alcaine...

Movie: Rebecca
ID: 223
Cast Members (25): Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Ni..."
31,5,1903,"231,235,238,239,240","Movie: Syriana
ID: 231
Cast Members (31): George Clooney, Matt Damon, Jeffrey Wright, Chris Cooper, Amanda Peet, William Hurt, Christopher Plummer, Alexander Siddig, Kayvan Novak, Amr Waked...
Crew Members (48): Avy Kaufman, Lucinda Syson, Dan Weil, Sarah Bradshaw, George Clooney, Tim Squyres, Steven Soderbergh, Stephen Gaghan, Stephen Gaghan, Jennifer Fox...

Movie: Stand by Me
ID: 235
Cast Members (16): Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland, Richard Drey..."
32,5,1867,"240,242,243,245,248","Movie: The Godfather: Part II
ID: 240
Cast Members (84): Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G. D. Spradlin, Richard Bright...
Crew Members (53): Francis Ford Coppola, Francis Ford Coppola, Francis Ford Coppola, Gray Frederickson, Fred Roos, Mona Skager, Carmine Coppola, Vic Ramos, Dean Tavoularis, Angelo P. Graham...

Movie: The Godfather: Part III
ID: 242
Cast Members (38): Al Pacino, Diane Keaton, Andy García, Tali..."
33,5,1835,"248,251,252,253,254","Movie: Pocketful of Miracles
ID: 248
Cast Members (40): Glenn Ford, Bette Davis, Hope Lange, Arthur O'Connell, Peter Falk, Thomas Mitchell, Edward Everett Horton, Mickey Shaughnessy, David Brian, Sheldon Leonard...
Crew Members (9): Frank Capra, Frank Capra, Walter Scharf, Hal Kanter, Harry Tugend, Jimmy Van Heusen, Frank P. Keller, Robert Riskin, Damon Runyon

Movie: Ghost
ID: 251
Cast Members (14): Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn, Vincent Schiavelli, Gail Boggs, Steph..."
34,5,1844,"254,257,261,268,272","Movie: King Kong
ID: 254
Cast Members (33): Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Andy Serkis, Evan Parke, Jamie Bell, Lobo Chan, John Sumner...
Crew Members (38): James Newton Howard, Peter Jackson, Peter Jackson, Peter Jackson, Fran Walsh, Fran Walsh, Philippa Boyens, Andrew Lesnie, Grant Major, Joe Bleakley...

Movie: Oliver Twist
ID: 257
Cast Members (34): Barney Clark, Ben Kingsley, Jamie Foreman, Harry Eden, Edward Hardwicke, Leanne Rowe, Ian McNeice, Chri..."
35,5,1900,"272,274,277,278,279","Movie: Batman Begins
ID: 272
Cast Members (113): Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Morgan Freeman, Rutger Hauer, Ken Watanabe...
Crew Members (137): Lucinda Syson, Larry J. Franco, Hans Zimmer, Charles Roven, Christopher Nolan, Christopher Nolan, Emma Thomas, Wally Pfister, John Papsidera, James Newton Howard...

Movie: The Silence of the Lambs
ID: 274
Cast Members (59): Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, An..."
36,5,1922,"279,280,284,285,288","Movie: Amadeus
ID: 279
Cast Members (60): F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow, Christine Ebersole, Jeffrey Jones, Barbara Bryne, Cynthia Nixon, Douglas Seale...
Crew Members (28): Bonnie Timmermann, Maggie Cartier, Saul Zaentz, Miloš Forman, Peter Shaffer, Peter Shaffer, Michael Hausman, Michael Hausman, Bertil Ohlsson, Miroslav Ondříček...

Movie: Terminator 2: Judgment Day
ID: 280
Cast Members (42): Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, ..."
37,5,1846,"288,289,291,292,296","Movie: High Noon
ID: 288
Cast Members (57): Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, Katy Jurado, Otto Kruger, Lon Chaney Jr., Harry Morgan, Ian MacDonald, Eve McVeagh...
Crew Members (33): Elmo Williams, Fred Zinnemann, Carl Foreman, Carl Foreman, John W. Cunningham, Stanley Kramer, Dimitri Tiomkin, Floyd Crosby, Rudolph Sternad, Ben Hayne...

Movie: Casablanca
ID: 289
Cast Members (105): Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstr..."
38,5,1957,"296,297,298,302,306","Movie: Terminator 3: Rise of the Machines
ID: 296
Cast Members (14): Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken, David Andrews, Mark Famiglietti, Earl Boen, Moira Harris, Chopper Bernet, Christopher Lawford...
Crew Members (144): Don Burgess, Gale Anne Hurd, Gale Anne Hurd, Bill Abbott, James Cameron, Mario Kassar, Jeff Dawn, Jonathan Mostow, John D. Brancato, John D. Brancato...

Movie: Meet Joe Black
ID: 297
Cast Members (11): Brad Pitt, Anthony Hopkins, Claire Forlani, J..."
39,5,1934,"306,309,310,311,314","Movie: Beverly Hills Cop III
ID: 306
Cast Members (23): Eddie Murphy, Judge Reinhold, Héctor Elizondo, Gilbert R. Hill, Timothy Carhart, Bronson Pinchot, Stephen McHattie, Theresa Randle, John Saxon, Jon Tenney...
Crew Members (14): Danilo Bach, Danilo Bach, Daniel Petrie, Jr., Daniel Petrie, Jr., Jackie Burch, Steven E. de Souza, John Landis, Mace Neufeld, Robert Rehme, Nile Rodgers...

Movie: The Celebration
ID: 309
Cast Members (21): Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika..."
40,5,1869,"314,319,320,321,322","Movie: Catwoman
ID: 314
Cast Members (58): Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson, Frances Conroy, Alex Borstein, Michael Massee, Byron Mann, Kim Smith, Christopher Heyerdahl...
Crew Members (162): Thierry Arbogast, Sylvie Landra, Klaus Badelt, John Papsidera, Christopher Boyes, Bruce Berman, Denise Di Novi, Bob Kane, John D. Brancato, Michael Ferris...

Movie: True Romance
ID: 319
Cast Members (40): Christian Slater, Patricia Arquette, Michael Rapaport, Bronson Pinchot, Gary ..."
41,5,1924,"322,326,327,329,330","Movie: Mystic River
ID: 322
Cast Members (24): Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Eli Wallach...
Crew Members (13): Clint Eastwood, Clint Eastwood, Clint Eastwood, Joel Cox, Phyllis Huffman, Tom Stern, Deborah Hopper, Bruce Berman, Dennis Lehane, Brian Helgeland...

Movie: Snakes on a Plane
ID: 326
Cast Members (19): Samuel L. Jackson, Julianna Margulies, Kenan Thompson, Nathan Phillips, Rachel Blanchar..."
42,5,1905,"330,331,332,334,335","Movie: The Lost World: Jurassic Park
ID: 330
Cast Members (23): Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Richard Attenborough, Vince Vaughn, Arliss Howard, Vanessa Lee Chester, Joseph Mazzello, Ariana Richards, Steven Spielberg...
Crew Members (97): John Williams, Steven Spielberg, Kathleen Kennedy, Colin Wilson, Janusz Kamiński, Michael Kahn, Rick Carter, David Koepp, David Koepp, Christopher Boyes...

Movie: Jurassic Park III
ID: 331
Cast Members (15): Sam Neill, William H. Macy, Téa..."
43,5,1931,"335,338,342,345,346","Movie: Once Upon a Time in the West
ID: 335
Cast Members (14): Henry Fonda, Claudia Cardinale, Jason Robards, Charles Bronson, Gabriele Ferzetti, Paolo Stoppa, Woody Strode, Jack Elam, Keenan Wynn, Frank Wolff...
Crew Members (16): Ennio Morricone, Tonino Delli Colli, John Landis, Sergio Leone, Sergio Leone, Sergio Leone, Carlo Simi, Carlo Simi, Nino Baragli, Bino Cicogna...

Movie: Good bye, Lenin!
ID: 338
Cast Members (16): Daniel Brühl, Katrin Sass, Chulpan Khamatova, Maria Simon, Florian Luk..."
44,5,1908,"346,348,350,364,377","Movie: Seven Samurai
ID: 346
Cast Members (101): Toshirō Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Katô, Isao Kimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara...
Crew Members (21): Akira Kurosawa, Akira Kurosawa, Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni, Sôjirô Motoki, Fumio Hayasaka, Masaru Satô, Yoshirô Muraki, Asakazu Nakai...

Movie: Alien
ID: 348
Cast Members (10): Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, ..."
45,5,1900,"377,380,387,388,389","Movie: A Nightmare on Elm Street
ID: 377
Cast Members (29): John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss, Jsu Garcia, Johnny Depp, Robert Englund, Leslie Hoffman, Joe Unger, Charles Fleischer...
Crew Members (15): Wes Craven, Wes Craven, Robert Shaye, John Burrows, Stanley Dudelson, Joseph Wolf, Sara Risher, Charles Bernstein, Jacques Haitkin, Patrick McMahon...

Movie: Rain Man
ID: 380
Cast Members (39): Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Mi..."
46,5,1919,"389,391,392,393,395","Movie: 12 Angry Men
ID: 389
Cast Members (17): Henry Fonda, Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Joseph Sweeney, Ed Begley...
Crew Members (17): Henry Fonda, Sidney Lumet, Reginald Rose, Reginald Rose, Reginald Rose, George Justin, Kenyon Hopkins, Boris Kaufman, Carl Lerner, Robert Markel...

Movie: A Fistful of Dollars
ID: 391
Cast Members (14): Clint Eastwood, Marianne Koch, Gian Maria Volonté, Wolfgang Lukschy, José Calvo, Sieghardt..."
47,5,1875,"395,398,400,401,403","Movie: AVP: Alien vs. Predator
ID: 395
Cast Members (25): Sanaa Lathan, Raoul Bova, Ewen Bremner, Colin Salmon, Tommy Flanagan, Joseph Rye, Agathe de La Boulaye, Carsten Norgaard, Sam Troughton, Lance Henriksen...
Crew Members (137): Paul W.S. Anderson, Paul W.S. Anderson, Magali Guidasci, David Giler, Jim Thomas, John Thomas, Walter Hill, Alexander Berner, John Davis, David Minkowski...

Movie: Capote
ID: 398
Cast Members (17): Philip Seymour Hoffman, Allie Mickelson, Craig Archibald, Bronwen C..."
